"title","formatted_work_type","remote_allowed","formatted_experience_level","normalized_salary","state","title_idx_num","state_idx_num","formatted_work_type_idx_num","formatted_experience_level_idx_num"
"Economic Development and Planning Intern","Internship","0.0","Unknown","35360.0","NC","0.0","11.0","4.0","2.0"
"Sales Development Representative","Full-time","1.0","Entry level","62500.0","Washington DC-Baltimore Area","56.0","48.0","0.0","1.0"
"Complex Inforce Processor","Full-time","0.0","Entry level","53000.0","NY","0.0","2.0","0.0","1.0"
"REMOTE – Market Research Competitive Intelligence (Pharma)","Contract","1.0","Unknown","176800.0","CT","0.0","25.0","1.0","2.0"
"Director of Administrative Operations.","Full-time","0.0","Director","79500.0","NH","0.0","39.0","0.0","4.0"
"Account Executive - Commercial","Full-time","1.0","Unknown","158750.0","United States","0.0","1.0","0.0","2.0"
"Dental Hygienist - choose your own schedule","Full-time","0.0","Entry level","135200.0","VA","549.0","12.0","0.0","1.0"
"RN Wound Specialist - Home Health","Full-time","0.0","Mid-Senior level","119485.6","WA","0.0","5.0","0.0","0.0"
"Marketing Operations Manager (Funnel Guru)","Full-time","0.0","Unknown","107500.0","AZ","0.0","15.0","0.0","2.0"
"AMC - Travel RN - Neuro ICU/SICU - Nights","Contract","0.0","Mid-Senior level","159544.32","NY","0.0","2.0","1.0","0.0"
"Workers' Compensation Attorney","Full-time","1.0","Mid-Senior level","160000.0","United States","0.0","1.0","0.0","0.0"
"Advertising Sales Executive","Full-time","0.0","Associate","85000.0","CA","0.0","0.0","0.0","3.0"
"Sales Operations Coordinator","Full-time","1.0","Associate","67500.0","United States","0.0","1.0","0.0","3.0"
"Medical Assistant","Full-time","0.0","Entry level","43680.0","CO","65.0","6.0","0.0","1.0"
"Director of Finance, N.A.","Full-time","0.0","Director","165000.0","IN","0.0","22.0","0.0","4.0"
"Information Security Director","Full-time","0.0","Director","234883.415","NJ","0.0","8.0","0.0","4.0"
"Regional Rep, Health Plan Marketplace - 63576","Full-time","0.0","Mid-Senior level","124170.5","United States","0.0","1.0","0.0","0.0"
"Sales Manager - Hilton Vancouver","Full-time","0.0","Entry level","58240.0","WA","0.0","5.0","0.0","1.0"
"Quality Control Final Inspector - B Shift","Full-time","0.0","Unknown","50000.0","NE","0.0","38.0","0.0","2.0"
"Copy of Construction Engineer Ill","Full-time","0.0","Entry level","100067.715","TX","0.0","3.0","0.0","1.0"
